run_type,iden,current_iter,max_iter,prior_loss,iden_loss,total_loss,acc
bb_top1,0-59,300,3000,3.34,27.631,2766.442,0.0
bb_top1,0-59,600,3000,0.828,27.631,2763.93,0.0
bb_top1,0-59,900,3000,0.323,27.631,2763.425,0.0
bb_top1,0-59,1200,3000,0.082,27.631,2763.184,0.0
bb_top1,0-59,1500,3000,0.042,27.631,2763.144,0.0
bb_top1,0-59,1800,3000,0.028,27.631,2763.13,0.0
bb_top1,0-59,2100,3000,0.011,27.631,2763.113,0.0
bb_top1,0-59,2400,3000,0.007,27.631,2763.109,0.0
bb_top1,0-59,2700,3000,0.012,27.631,2763.114,0.0
bb_top1,0-59,3000,3000,0.006,27.631,2763.108,0.0
bb_top1,60-119,300,3000,3.656,27.631,2766.758,0.0
bb_top1,60-119,600,3000,0.64,27.631,2763.742,0.0
bb_top1,60-119,900,3000,0.144,27.631,2763.246,0.0
bb_top1,60-119,1200,3000,0.043,27.631,2763.145,0.0
bb_top1,60-119,1500,3000,0.026,27.631,2763.128,0.0
bb_top1,60-119,1800,3000,0.012,27.631,2763.114,0.0
bb_top1,60-119,2100,3000,0.006,27.631,2763.108,0.0
bb_top1,60-119,2400,3000,0.008,27.631,2763.11,0.0
bb_top1,60-119,2700,3000,0.006,27.631,2763.108,0.0
bb_top1,60-119,3000,3000,0.005,27.631,2763.107,0.0
bb_top1,120-179,300,3000,3.103,27.631,2766.205,0.0
bb_top1,120-179,600,3000,0.987,27.171,2718.038,0.0
bb_top1,120-179,900,3000,0.305,27.631,2763.407,0.0
bb_top1,120-179,1200,3000,0.116,27.631,2763.218,0.0
bb_top1,120-179,1500,3000,0.047,27.631,2763.149,0.0
bb_top1,120-179,1800,3000,0.017,27.631,2763.119,0.0
bb_top1,120-179,2100,3000,0.015,27.631,2763.117,0.0
bb_top1,120-179,2400,3000,0.009,27.631,2763.111,0.0
bb_top1,120-179,2700,3000,0.007,27.631,2763.109,0.0
bb_top1,120-179,3000,3000,0.004,27.631,2763.106,0.0
bb_top1,180-239,300,3000,2.954,27.631,2766.056,0.0
bb_top1,180-239,600,3000,0.823,27.631,2763.925,0.0
bb_top1,180-239,900,3000,0.106,27.631,2763.208,0.0
bb_top1,180-239,1200,3000,0.033,27.631,2763.135,0.0
bb_top1,180-239,1500,3000,0.03,27.631,2763.132,0.0
bb_top1,180-239,1800,3000,0.037,27.631,2763.139,0.0
bb_top1,180-239,2100,3000,0.011,27.171,2717.061,0.0
bb_top1,180-239,2400,3000,0.046,27.631,2763.148,0.0
bb_top1,180-239,2700,3000,0.01,27.171,2717.06,0.0
bb_top1,180-239,3000,3000,0.009,27.631,2763.111,0.0
bb_top1,240-299,300,3000,2.99,27.631,2766.092,0.0
bb_top1,240-299,600,3000,0.725,27.631,2763.827,0.0
bb_top1,240-299,900,3000,0.222,27.631,2763.324,0.0
bb_top1,240-299,1200,3000,0.103,27.631,2763.205,0.0
bb_top1,240-299,1500,3000,0.048,27.631,2763.151,0.0
bb_top1,240-299,1800,3000,0.023,27.631,2763.125,0.0
bb_top1,240-299,2100,3000,0.016,27.631,2763.118,0.0
bb_top1,240-299,2400,3000,0.072,27.631,2763.174,0.0
bb_top1,240-299,2700,3000,0.007,27.631,2763.109,0.0
bb_top1,240-299,3000,3000,0.003,27.631,2763.105,0.017
